Sentence,Emotion
세월이 무색하다,1
감정이 무뎌질 때도 됐는데,1
감정조절이 안돼,1
우울감이 밀려와,1
견디기 너무 힘들다,1
겁이 나,1
과거에 얽매여 있어,1
괜찮아 지지가 않아,1
헛된 희망을 꿈꿨어,1
너무 괴로워,1
가슴이 너무 아파,1
나를 생각이나 해줄까,1
이별을 준비중이야,1
기다리다 지친다,1
기운이 없어,1
악몽을 꿨어,1
무너지고있어,1
무뎌지고 있어,1
나쁜 마음이 들어,1
버림받았어,1
마음 정리하기 어렵네,1
내가 잘못한걸까,1
내가 예민한걸까,1
놀아줄 사람이 없어,1
다시 가라앉는 중이야,1
다시 원점인거 같아,1
다음주가 너무 무서워,1
남 좀 도와줬으면 좋겠어,1
많이 약해져있어,1
멘탈이 무너지고 있어,1
모든것이 의미없는거 같아,1
다 부질없어,1
미련한거 같아,1
미안한 마음뿐이야,1
믿은 내가 바보지,1
밑바닥까지 봐 버렸어,1
받아들이기가 많이 힘드네,1
비참해,1
사람들은 모두 변하나봐,1
아직 붙잡고 싶어,1
비 오니까 또 생각나,1
일상으로 돌아가고 싶어,1
사랑의 기준은 뭘까,1
살고싶어,1
상처 받기 싫어,1
밤에 자주 깨,1
이걸 원하진 않았는데,1
성격이 안맞아,1
나한테 너무 인색한거 같아,1
슬픈 예감대로 되어가네,1
시간을 되돌리고 싶다,1
심리상담 받아야 할까,1
씁쓸하다,1
성격을 고쳐야 할까,1
날 혼자 두지마,1
날 내버려 두지마,1
혼자있는게 무서워,1
사는게 지옥같아,1
아무일도 없었던 것처럼 살고 싶어,1
아침부터 눈물나네,1
앞으로 힘든 시간일거 같아,1
앞이 캄캄해,1
어디론가 떠나고 싶어,1
어떤 마음인지 모르겠어,1
멘탈 나갔어,1
완전히 끝났어,1
억지로 살고 있어,1
희망고문 그만 했으면 좋겠어,1
실수를 왜이렇게 많이 할까,1
잘 버티고 있는걸까,1
오늘 하루도 겨우 버텼어,1
오늘 최악인거 같아,1
쉽게 변하더라,1
나한테 실망스러워,1
극복하고 싶어,1
너무 외롭다,1
나는 매번 왜이럴까,1
외롭고 우울해,1
모든일에 의욕이 없다,1
이유라도 알았으면 좋겠어,1
지쳐가고 있는 거 같아,1
숨 좀 쉬고 싶어,1
아무도 못 믿겠어,1
난 뭐하고 있나 자괴감 들어,1
점점 심해지는 거 같아,1
난 구제불능인가봐,1
복합적으로 힘드네,1
사람이 그리워,1
정말 나한테 너무하다,1
죽진 못하겠고 살긴 싫고,1
참고 있는 거 너무 힘들어,1
하루가 일년같아,1
나 정말 한심하다,1
행복해 질 수 있을까,1
헤어진게 잘 한 걸까,1
혼술하고 있어,1
혼자는 여전히 힘드네,1
후회가 몰려와,1
장식품을 하나 사볼까,2
불 켜야지,2
책 좀 읽어야지,2
재밌는 드라마 없나?,2
소개팅 나갈까?,2
운동해야지,2
다른 게임 없을까?,2
내일 도서관 가야지,2
요즘 추워졌네,2
단발해볼까?,2
청소해야지,2
밥 먹어야지,2
브런치 먹어야겠다,2
스키 배워 볼까,2
카페 가야겠다,2
염색해볼까,2
비타민 먹어야지,2
오늘 뭐 입지,2
요가하러 가야지,2
중국어 배워볼까,2
취미 좀 만들어볼까,2
봉사활동 좀 해볼까,2
내일 스키장 간다,3
드디어 면허 땄어,3
드디어 여행 가,3
천재 같다,3
간만에 쇼핑 좀 했어,3
같이 수영장 가기로 했어,3
내일 예쁘게 하고 가야지,3
고기 먹었어,3
고양이 동영상 보는중이야,3
근사한 레스토랑 알아냈어,3
치킨 기프티콘 받았어,3
기회를 잡았어,3
오늘이 꿈만 같아,3
새 옷 샀다,3
오늘 화장 잘 먹었어,3
완전 설렜어,3
오늘은 공휴일이야,3
선물 받았어,3
승진했어,3
취직했어,3
곧 크리스마스야,3
너무 멋있어,3
너무 예뻐,3
노트북 새로 샀어,3
성적 잘 나왔어,3
주변에서 너무 많이 도와줬어,3
돈 모으는 재미가 있어,3
할 일을 끝냈어,3
길가다 돈 주웠어,3
배달음식 왔어,3
오늘 보름달 떴어,3
세뱃돈 받았어,3
건후 너무 귀엽다,3
오늘 날씨 좋다,3
치맥해야지,3
욜로해야지,3
목소리가 좋은거 같아,3
이벤트 당첨됐어,3
인형 뽑았어,3
살 빠졌어,3
방청소 끝냈어,3
친구를 초대했어,3
해외여행 가,3
여행 너무 좋았어,3
첫 출근이야,3
첫눈이야,3
내가 귀엽대,3
내가 예쁘대,3
커피향 좋다,3
택배왔어,3
평온해,3
이불이 너무 포근해,3
햇빛 너무 좋다,3
산책갔다왔어,3
별이 너무 예쁘다,3
그사람이 너무 좋아,3
네일 잘 된듯 해,3
나아지고 있는 거 같아,3
주말이야,3
너무 고마워,3
결혼할 거 같아,3
행복한 하루야,3
