Emotion,Sentence
1,이번 주내도록 과제 또 과제 아기 엄마의 삶과 또 다른 일터의 삶 그리고 대학원생의 삶이란 과제의 늪 해도 해도 끝나지 않는 오늘도 새벽까지 컴퓨터 앞을 떠나지 못하겠지 혹시나 아기 깰까 봐 홈 카메라 켜놓고 과제하는 삶이라니
1,어느덧 일 연일 코로나가 한창인데 석양이 너무 이쁘네 코로나 언제 끝나려나
1,엄마표 물감 색칠놀이 피곤하네
1,수술할 때나 꼽는다는 왕 바늘 왼손 오른손 아주 바늘구멍이 수액 맞고 물 마시니 계속 화장실행 젊다고 건강한 거 다 옛말 아프지 마세요
1,돌아가는 길 오늘로 마지막 실기 지친다
1,가정보육일차안그래도애들컨디션이안좋아서이번주는가정보육해야겠다싶었는데창녕전체휴원화요일부터시작된가정보육그리고어제오늘확진자명좁디좁은창녕에서이틀사이확진자명오늘은가정보육일차첫째밥챙겨먹이랴둘째이유식세끼먹이랴애들콧물닦아주랴하루번노시부로콧물츕츕애들약챙겨먹이랴집에서만있는데왤케바쁘지자상한우리남푠퇴근하면서항상장봐와서그걸로연명중다현이친구야들한테크리스마스선물로하리보비누만들어서주려고스티커며케이스다사놨는데이게모야얼른끝났음좋겠드아
1,점심시간 끝이 지에 미술시간 뭘 해도 해도 시간이 참 안 가 네 연말까지 뭘 하며 지내야 하는 건지 끝도 보이지 않는 코로나 지친다 정말
1,뭐가 날 잠 못 자게 하지 일할 때 자꾸 몸에서 열나고 오늘은 수면제 하나 먹고 잠드는 밤이 되었다 내 몸이 이상한가 보다
1,너와 놀다 지쳐
1,마지막까지 최악의 년 많이 힘들고 많이 지친다 정신 차리자 하늘이 무너져도 솟아날 구멍은 있다잖아 나도 솟아날 곳이 있겠지
1,설치한 지 하루 만에 다리 부러져 사망 직전이신 온갖 것에 기대 계시는
1,집에 콕 놀이 크리스마스카드 만들기
1,오늘은종이컵놀이오늘종이컵으로원없이놀아라집콕놀이아이템이부족하다
1,그냥 재택 하는 게 나을 텐데 고집 한번 세게 부리네
1,오빠는 코로 나 땜에 고생 중 잘 먹어야 힘을 내지
1,인간관계라는 게 참 어렵다 내 곁에 사람이 생기면 누군가 또 사라지니 내가 무엇을 해야 할지 내가 잘못된 건지 너무 어렵다
1,오늘은 따라 왜 이렇게 다 지치고 불안한지 멀리 봐야 하는데 지금 당장 지칠 땐 다들 어떻게 회복하시나 요술로 푸는 것도 이제 몸이 안 받아주네요 오늘 왜 케 여러 가지의 생각이 드는지 자기최면을 걸어봐도 안되고 할 수 있다고 생각해도 잘 안되네요
1,요즘 또 내 마음과는 다르게도 의도치 않게도 하기 싫지만 해야 되는 일들이 너무 많이 생기는 거 같다 지금은 어느 정도 감당은 하지만 어떻게 될 지시한 폭탄
1,아이들에게도 선생님에게도 너무 지치는 비대면 수업 빈 교실에서 혼자 모니터에 대고 계속 말하다 보면 순간 내가 정신 나간 사람 같다는 생각이 든다
1,실시간 우리끼리 랜선 데이 투 이래놓고 사실 넷 풀 안 보고 노래 부르는 거 보는 중이지 같이 영화 보기 실패 취기를 빌려랑 리틀스타 부르는 거 듣기만 해도 너무 설렌다 미쳤다
1,이번 가정 보육은 유난히 더 시간이 안 간다 아직도 화요일이라는 회사 다닐 때 맨날 하던 생각이 오랜만에 드는 하루
1,하루 종일 분주하고 에너지 소비가 많았어요 어린이는 오늘 온라인 수업도 잘했어요 너무 피곤해요 배달음식은 안 시키는데 이번에 두 번째 주문해봤어요 세상 편하네요
1,생각만큼 쉽지 않은 요즘 이것 또한 추억이 될 테니 버텨야지
1,흉하고 사라져 버렸으면 좋겠다
1,난 매일 나루터 같은 아이들을 키우며 전쟁을 벌이는 중 결국 어젯밤 감기가 왔네 지금 코 막히고 목 아프다 이 녀석들 정말 힘든데 코로나는 언제 지나갈까 나도 쉬고 싶은데
1,지씨네 마지막 과제 한 달 동안 개고생 지친 다이제 일지 쓰러 가자
1,딸 꺼 미리 빨래하는 중이 거 왜 이리 힘들지 주말부터 집 정리하느라 지치고 피로하다 부위별로 빨래해야 해서 손이 많이 가는 중 건조한 후 향균 지퍼백에 넣어야 한 거실은 음식 냄새 밸까 봐 방에서 의류 건조 틀어놓고 말리는 중 힘들구나 하
1,함박눈도 내리고 춘천 가는 김영하의 날씨 춥다 내일도 한파를 뚫고 새벽에 출근 아이번 실험이 마지막이길 정말 지겹다
1,일주일 내내 집 밖에 한 번 못 나오고 독박 육아 눈 내린 일요일 드라이브 삼아 스키장 노랑 곰은 스키장에 서있는 내내 울고 안아달라 떼쓰다가 돌아오는 길 어느 주차장에서 썰매 쪼금 타고 왔다는 슬픈 이야기
1,지친다크림검수보류가무슨지금까지건중개솔드아웃힘내줘신발팔기힘들다
1,사는 게 이렇게 재미없을 수가 있나 아이들은 커가는데 눈이 오면 뭐 하니 크리스마스는 무엇이고 날짜는 가고 시간은 멈출 생각도 없고 이 와중에 또 나이만 먹네
1,마 있다 배고프다 근데 식도 식도가 아파서 못 먹어 아파아파 힘들어 너무 얼른 서울 가자 피검사 결과 나왔다
1,첫눈 눈이 많이 쌓이지도 않고 녹았네 너무 추워서 금방 다시 들어옴
1,요즘 내 욕하는 사람 누구니
1,첫눈 사람도 없는 동명 거리 밤샘근무 중 주간 정상영업을 못하다니 오늘 확진자 명실화냐 답답할 따름 더 리베 새벽 시부 터 저녁 시까지는 영업 중
1,그래서 코로나 언제 사라지는 건데 진짜 지친다 지쳐 다들 제발 좀
1,혼자서 뚝딱뚝딱 조금만 더 참아보자 곧 좋은 봄날이 올 거야
1,요즘너무맘에와닿는노래벤혼술하고싶은밤나도모르겠는요즘내마음정말노래가사처럼지쳤을때소리내서울어도보고도망치듯떠나도보고그래보고싶다
1,아 겁나 힘드네 그래도 파이팅 해보자
1,심심 뭐 해 다들 코로나 언제 없어지나 지루한 금요일
1,토 일 이틀간 샤먼에서 열리는 전국 예선전을 위해 오늘 샤먼으로 떠나는 곰탱이 그래서 어제저녁엔 곰탱이가 집에 옴 주말인지 평일인지 산더미 같은 빨래를 미친 듯 돌리고 습도와의 싸움이 시작되었다 제습기를 무려 이틀간 풀가동시켰건만 집안 습도는 여전히 가 넘고 아침부터 짐 다시 싸느라 드라이 기대까지 동원에 구야 힘들다 기숙사 캐리어 하나 샤먼 가져갈 캐리어 하나 책가방 노트북 또 다른 백팩 크로스백까지 좀 전에 곰탱이랑 아파서 집에 온 중이랑 둘 다 다시 학교로 보냈는데 내일 옹이가 주말이라 다시 집에 오네 또 빨래해야 하는 거야
1,문득 내년엔 괜찮을까
1,매일 내 새끼 세 끼 차리는 게 고민이다 이번에는 가락국수도 아니고 잔치국수도 아 닌 국수 요리 가쓰오부시 육수에 쌀국수 간장 양념 소고기 야채볶음 올리고 건져 먹기 좋게 쌀의 묵 밀가루 알레르기가 있어 신경 쓰이는데 그래도 주는 건 잘 먹는 정은 유존 있음
1,어차피 이상 뛸 힘도 없어난 지쳐버렸어
1,뛰어다니다가 부딪혀서 다쳤음
1,좋은 거 먹고 힘내나도 힘내 모두 힘내 버티자
1,배달하고 물건 내리고 창고 정리하고 몸이 두 개면 좋겠 다리 너무 지친 다리 저 게다 얼마치냐 오늘은 뭐 먹지
1,요즘 엔간히 지치고 힘드네 힘들다
1,아침부터 마트 놀이 서비스 달라니까 사장님한테 혼난다고 그 사장님은 이희성
1,일 좀 하자 코로나야 제발 좀 사라져 주라 부탁할게
1,아침마다 모빌 보며 놀다가 아련하게 쳐다보며 웃어주는 내 새끼들 오늘도 너무 힘들고 지치지만 웃는 모습에 힘을 내본다
1,지친 드
1,코로나로 몸도 맘도 힘든 하루 자기 전무 알코올 맥주로 지친 나를 위로 대한민국 모든 소상공인 힘냅시다
1,요즘 몸도 너무 안 좋고 상황도 안 좋고 우울감에 의욕도 상실되어가는 기분이 다기도가 부족한 가정성이 부족한가 제자가 부족한가 매일 스트레스에 몸서리치다가 탈이 났다 끔찍한 한 달이었다
1,공부 때문에 지치네요 빨리 종강이 왔으면 좋겠습니다 종강하면 친구랑 골뱅이무침 계란말이에 소주 한잔하러 가고 싶네요
1,힘내자 코로나로 인해 어린이집은 휴원 조치 긴급 보육 신청해서 애들은 통합보육중 짠하네 내 새끼들이 놈의 코로나 내일은 제발 아무 일 없게 해주세요
1,나한테는 잘 안 해주는 뽀뽀 학교 태워다 줄 때 가끔 받는 뽀뽀 용돈 줘야 받는 뽀뽀 건강하고 행복하자
1,가정 보육이라 집에서 할 수 있는 건 다 하는데도 미디어를 최대한 안 보여주며 지내기엔 하루가 길게만 느껴진다 온종일 아이에게 맞춰주기란 나의 에너지가 너무나도 부족하다 아침부터 책 읽기 숫자판 놀이하기 보드게임하기 블록 놀이가 페놀이 친구들 초대해서 놀기 등 많이 한 거 같은데 아직도 시가 안 되었다 이 스님들 집에서 아이랑 할 수 있는 놀이 있음 공유 좀 해주세요
1,지친다
1,또다시 시작된 가정 보육 마스크 쓰는 다음이는 유치원 보내 고원준이랑 둘이 지지고 볶는 중엔 준 이 힘 빼려고 산책하고 온 건데 왜 나만 힘드냐 열흘째 낮잠 안 자는 거실화냐
1,힘드시게 올해는 패스하셔도 돼요
1,인간관계 연애 모든 게 이젠 싫다
1,일은 했는데 즐겁지가 않네요 지친 다수 선생님네가 게 공부해야지
1,코로나로 시작해서 코로나로 끝나는 마스크 없이 놀러 가고 싶다
1,여행 가고 싶다 조용한 곳으로 올해는 나와의 정리가 필요한 해이다
1,캠핑 갈 사람은 나는 못 가아 놀고 싶다아 날아간 나의 후반기 휴가여 여보게 나는 올해 휴가를 나갈 상인가
1,일주일전에쭌형제가직접장식해서만든트리예쁘게찍으면초콜렛준다는말에너무열심히표정관리해준두찌트리하도만져대서트리몸살날지경집콕해야할슬픈크리스마스지만쫌만더버텨보자
1,강제 백수 일요일에 찍 하고 문 닫으세요 하니 정말 헛웃음만 나온다 나의 서른 너무 빡센 데
1,어제오늘 울음 모드 나도 울고 싶다
1,난 정말 쇼핑이랑 안 맞아
1,우리 둘째의 최애 영상물 근데 온갖 시디다 꺼내서 엉망이 돼서 미 춰버리겠다며 하
1,지친다 며칠을 제대로 잠을 못 잤더니 힘들 다운 동도 못하고 이번 다 근무 스케줄 너무 싫다 그래도 다시 정신 차리고 일해야지 늦잠 자서 아침도 못 먹고 어제부터 먹고 싶었던 도넛만 집어 들고 출근했는데 커피가 없는 게 함정 점심에 커피랑 먹을까 심한 내적 갈등 중
1,우린 일에 치이고 사람에 치여 성숙해 가지요 널 조온 나 아낀다
1,함안을 벗어날 수 없는 우리는 하오 늘도 신나게 무럭무럭 자랐다고 한다
1,토요일 재오픈하고 청소할 것도 없는 바닥 쓸고 대걸레로 힘주어 닦고 에어컨 청소에 메뉴 정리하니 시네요 이제 시간 후면 마감이겠죠 훗 이젠 공부시간인가 어제 상향 조정 발표했는데 낼 또 상향할지 발표를 또 한다네요 그냥 진작에 단계 하지 정말 자영업자 피 말려 죽이렵니까
1,장염나았더니이번에는약물부작용으로전신발진가려움너무웃긴게꼭나이트근무하는날이래누가보면일부러아픈줄알겠다진짜요즘몸왜이렇게안좋니지친다나혹시개복치니
1,늘 좋은 모습만 못 보여줘서 미안해 부족한 엄마라 더더욱 미안해 좋은 목소리로 하율이를 불러주고 싶고 하율이 눈에서 눈물 안 나게 하고 싶은데 윽박지르고 무서운 엄마로 변해서 미안해 아직 좋은 엄마가 대려면 멀었나 봐
1,오늘 아침부터 지금까지 치우고 어지르면 또 치우고 어지르면 또 치우고 어지르면 또 치우고 몇 번째인지 이번이 마지막이 길
1,춥다 코로나가 심각해져서
1,판돌이 때가 그립군
1,한번 아프고 나더니
1,미워해좋아해짝사랑은힘들다서로의사랑을나누는게아닌일방적으로주기만하고받지를못하는이사랑은내마음에있는게모두말라서비참해질때까지멈추지를못한다너는내게마음이없다는걸알고다른사람과더가깝다는걸알때마다비참해져서저밑으로떨어져가는나를본적은있을까싶다비참해져버린나는그런너를미워하면서도좋아하는멍청이다생각조차하기싫다고던져놓다가도핸드폰을잡으면너에게연락이와있을까싶어두근거린다너의예전프사를몇번을돌려보고너와의대화를돌아볼때쯤내가뭐하고있나싶어지면그제서야슬픈웃음이흘러나오곤했다맞팔요청은이나댓글로부탁드립니다
1,서산으로 피난 가는 중 어제 싱크대 역류하고 밤늦게 업체에서 청소해주시고 안방에서 식구 끼여서 잤네요 오늘 장판 업자 다녀가셨는데 장판 밑으로 스며든 물 말려야 한 데서 서산으로 피난 왔어요 언제쯤 마무리되려나 고단하네요
1,근년 만에 면접 보는 자리라 너무 준비를 안 해 간 것 같다 살짝 아쉬움이 남는다
1,어쩜 지치지도 않니
1,제 말을 들어보세요 몇 번이나 말씀드렸잖아요 못한다고요 안 하는 게 아니라 이 말이 이해 안 돼요
1,일하며 스트레스는 쌓이고
1,카드 뉴스 끝없이 자신을 채찍질하는 사람들
1,곁을 내주기엔 마음의 여유가 너무 없다 그러면서 동시에 외롭다고 징징대는 건 무슨 조화냐 잘 자 요란 메시지에 답을 못하고 언제까지 나를 이렇게 내버려 둬야 하는지 막막하기만 하다
1,지친다
1,거리에 사람이 아무도 없다 무섭기까지 한 사회적 거리두기 내년에는 평범한 일상을 누릴 수 있기를
1,이제는 몸도 마음도 모두 지쳤다 더 이상 버틸 수 없을 것 같아서 이제 그만 여기서 멈출래 너를 사랑하는 걸
1,오랜만의 안 놀 시간 군산 코로나 난리 무서워서 방콕 일차 지겹다
1,비즈를 잔뜩 엎어놓고 왜 화나 어울 아기 언니 째려본다고 아무것도 안 나오는데
1,빡세게 굴리자 우울할 틈이 없게
1,코로나 언제 끝나니 여행 떠나고 싶네요
1,코로나에게 갑자기 우리 곁에 나타나 뒤흔든 너 지치지도 않니 이제 그만 갑자기 흔적 없이 사라져다 오
1,어제 자
1,월 일 오전 시 분 머 하는 거지 방해금지 모드가 꺼졌나 징 징 징 징 소리에 깨서 시간이 너무 없다 잠 안 오네
1,뭐라도 올리고 싶은데 뭐라도 올릴 게 없어 아무것도 없어 맨날 집이야 어제도 집이야 오늘도 집이야 내일도 집일 걸 너네도 집이야 나만 집이야 날도 추워 나만 추워 너네도 추워 뭐라도 하고 싶은데 뭣도 할 게 없어 그냥 그렇다고
1,좋아하는 사람들과 따뜻하게 커피 한잔하던 평범한 날이 너무 그리운 날
1,꿈에서 또 다른 내가 되어 나를 안아주고 싶었는데 나는 나에게 오지 않는다나에 게 안기지 않는다 꿈에서도 내가 아닌 네가 안아주길 바랐나 보다
1,언제까지 할 수 있을까 점점 늙어가는 게 확실함
1,과제에 지친 자
1,마치 비가 오면 번개가 치고 무지개가 피듯이 그렇게 나와 너는 다르게
1,이렇게 끝이구나 이번 주말도
1,너는 나를 끝까지 비참하게 만들어
1,거짓으로 꽁꽁 쌓인 그 너머의 진심에서 내 마음이 담은 건 오로지 그대뿐이었다고
1,정말 너뿐인데 너는 내가 아님이 보여서 그냥
1,언제쯤 다시 자유롭게
1,지친 몸으로 겨우
1,길고 길었던 월이 끝나가고 개인적으로 힘들던 년이 점점 지나가는데 시원섭섭해
1,마음이 허하다
1,연말에 친구가 모임 지고하면 보내고 싶은 짤 치료제 나오면 없어질 짤
1,이거면 됐다
1,이놈이랑 신나게 돌아다니고 싶다 아무 걱정 없이
1,당연해졌다 나의 웃음이
1,지친 하루에 오늘 나름 참 기분 좋은 날이라 생각했는데 주절주절 아직도 끝나지 않은 오늘 피곤하다
1,쉴새없이우주복을입고뛰어댕기니몸은기진맥진땀에쩔엇고한명빼면기다렸다는듯들이치는환자들로방전제발그만좀이제그만
1,휴식이 필요해 이젠 일이 무섭다 이렇게 무서운 적이 첨이다 두렵다 이젠 나 자신이 나를 그렇게 만든 걸 누굴 탓하겠냐마는
1,미워해좋아해안녕생각보다오랜만에너한테말을건네봐물론그날그순간뒤부터너와는문자도못나눌만큼멀어지기는했지만나는아직도가끔씩너의사진들을보며되새겨너가나를떠났고나는그런너를미워했지만정작너의전화번호는머릿속에서지울수가없더라외우고있는이전화번호가자꾸만전화를걸어보라고말을걸어혹시라도너가받으면누군지모르는사람에게서온이전화를받는다면내게비추던그미움만큼은없어진목소리를들을수있지않을까싶어미안해못다버린정때문에너가보고싶어미칠거같아언젠간지울수있겠지싶다가도포기해버려너를지워버릴생각이없어서맞팔요청은이나댓글로부탁드립니다
1,마음에 난도질하고
1,매애 매일이 출장의 연속이네요
1,어딘가로 혼자
1,긴급공지 내일 오슬로 파크 프리마켓 취소 코로나 여파로 당분간 프리마켓은 잠정 연기되었습니다 얼른 코로나가 잠잠해져서 다시 만나는 날이 왔으면 좋겠어요 마음이 무거운 밤이네요
1,누가 내 마음을 잘 알까
1,무엇을 위해
1,울보하리왤케울리고싶냐꼈하리엄마화장실간사이에엄마도와줘하면서울길래나가보니꼈어이와중에사탕은지켜야지요
1,오늘의 등원 샷 일어날 때부터 징징이더니 결국 대성통곡하며 가는구나 도대체 왜 이러는 걸까 육아의 길은 너무 힘들다 엄마라는 이름은 너무 무겁고 지친다 둘 찌는 이런 건가요
1,그게 최선인가요
1,사무실 춥다 집으로 가야지 뭔 생각을 오래 한 건지 씨 퇴근을 지금
1,유주도 아프고 아빠도 아프고 엄만 맘이 아프다
1,솔직해진다는것자격이없다는거생각보다사람을더비참하게만들었다너가나에게당연시하게받던말들이나한테는너무나도듣기어려운말이다주위사람들이가볍게뱉는한마디들이나를깎아가는게무서웠다나는이런사람이아니었는데어느순간나를돌아보니맨뒤에뒤처져너의등만을바라보는사람이되어버렸다내가너무부족해서넌돌아봐주지않고내가너무부족해서널잡을수가없다맞팔요청은이나댓글로부탁드립니다
1,지친다 이젠 내 감정을 숨기고 누군가의 감정을 받아주고 알아봐 주고 공감해주고 그로 인해 힘들어진 내 감정은 속으로 삭혀야만 하고 나도 너무 힘든데 펑펑 울고 싶어도 이젠 눈물조차 나오지 않는다
1,힘듦
1,이 아침에 삼겹살 굽는 여자 난 아침에 삼겹살 꺼내놓고 씻으러 들어간 아드님 덕분에 삼겹살을 굽네요 오늘부터 단계 격상으로 등교중지 온라인 수업으로 대체하는 울 아들 잘 지내보자고 또 싸워야 한다 온라인 수업 후 게임 또 하겠지
1,와우 겁나 힘들다 몸이 언제쯤 가벼워지려나 내 노력이 부족한 탓이야
1,나야 뭐 항상 뭘 해도 꼬이긴 해
1,어릴 적 아무것도 몰랐던 그때로 갈 수는 없을까
1,우리에게 너무 당연한 것들 우리가 살아왔던 평범한 나날들이 다 얼마나 소중한지 알아버렸죠
1,탄 이랑 처음 다녀온 킨텍스 케이 펫 페어 신건 많지 않지만 그냥 오늘 뿌듯
1,우울 모드 날씨도 흐리고 주말은 끝났어 이제 올 중순 시간이 빠르다
1,응급실비도 오고 뭐 이리 울적하니 몸도 마음도 엉망이야
1,예민하다 너무 예민하다 그냥 호르몬을 탓한다
1,대 여자 섬유근통 운동 많이 해서 근육통 아니에요 유전적 후천적 스트레스 정확한 원인을 알 수 없는 이유로 전신에 류머티즘성 통증을 동반하고 있어요 일어날 때 통증이 가장 심해요 오늘 오전은 통증과 내내 싸우다 엄마 배고파요라는 소리가 메아리처럼 들리긴 했는데 겨우 일어나서 아들이 좋아하는 소코 아카에랑 밥은 리필돼서 두 번 먹은 아들 휴가니까요 오늘 점심도 남이 해준 밥 조금 힘은 없지만 힘내서 파이팅 할게요 점심 식사 남이 해준 밥도 코아 소 코아 상무점 힘없음에 힘없다 아프다 약 떨어짐 병원 언제 가지 섬유근통 섬유 근육통 노랑머리 무표정 그램
1,일주일을개기다결국병원행신경주사는늠나아파병원행신경주사아프다대구현풍테크노폴리스년수영마라톤헬스자전거철인종등산순토다이어트요리맛집운동하는여자선팔하면맞팔육아그램
1,치과 가는 날 임플란트 식립 치과에서 죽도 줘 아프다
1,중학교 동창이 해준 눈썹 문신 나이 먹을수록 자기관리 눈썹 문신 아프다
1,오늘 하루도 마무리 새해부터 아픈 건 뭐람 새해 복 많이 받으세요 위가 쉴 틈이 없다 아프다
1,이제 좀 끝났으면 코로나 검체 채취 이동 검체 춥다 배고프다 힘들다 아프다 물리치료 간호사 일상
1,년 마지막 날 어제 남편 모시러 갔다가 예뻐서 찍은 사진 오늘은 오전 내내 병원 투어했어요 오른쪽 아랫배가 몇 달 동안 계속 아파서 딸내미 어린이집 보내고 맘먹고 다녀왔네요 연세 우리 내과 신촌 연세병원 촬영 산부인과 오늘 느낀 점 건강이 최고입니다 년 마지막 날입니다 모두 마무리 잘 하시길 바랍니다 병원 투어 아프다 아프지 말자 육아 맘 주부 일상
1,쥬쥬 선생님의 겨 박살 콤보 부산 폴 댄스 해운대 폴 댄스 달 폴 댄스 예쁘지만 아프다
1,지지고 밥 추가 번하는 남자 이태훈 피어싱 아프다
1,오빠와일그리고사랑니뺀날럽스타그램기념일천일기념일스타그램사랑니사랑니발치아프다사랑니싫어요
1,크리스마스이브는 수술로 크리스마스는 입원으로 무통주사 개발한 사람상 줘야 함 최소 노벨상
1,저기 쿠로 님 괴롭혀서 미안한데요 괴롭히고 싶게 생기셨어요 고양이 고양이 그램 살이지 곧 사주인 님 괴롭히기 꿀 잼 귀여워서 근데 이빨은 너무 아프다 미안해 유
1,연휴의 마지막 날 또 팔공산 동봉 동네 뒷산 가듯이 가벼운 맘으로 연휴 마무리 또 팔공산 동봉 내리막길 구르기 아프다
1,응급실 바늘 유리 베임 응급실이게 뭐야 아산 충무병원 아프다
1,내사랑케이크코로나때문에집콕확진자늘어서주간삼시세끼해먹이며집콕한아이들이아프다병원도맘대로못가는데맘도몸도지친크리스마스이브와오늘어제와인과먹으려주문한케이크나혼자커팅해서더치커피찐하게아이스로준비해서카페인만땅충전나는아프고힘들어도괜찮으니아이들이건강해지길년연속힘든크리스마스크리스마스때마다아프다아프지말자
1,크리스마스 우리 생일 아니지만 우리 생일처럼 즐겁게 광교호수공원 추워 시간 운동 춥다 빅 드래건 가자 다리통 아프다
1,울 아기들 아빠의 깜짝 선물 보고 아침부터 짱 신남 메리 크리스마스 토르 망치 아프다 수빈이는 미니어처 딸과 아들의 온도차 이산 타는 없다고 선물은 아빠가 샀다고 진작에 동심파괴하는 아빠
1,크리스마스를 앞두고 사랑니를 뽑다니 사랑니 통증 턱이 아프다 입이 안 벌어져 사랑니 발치 사랑니 뿅 하루가 지났는데도 아프다 아파도 먹어야지 지음 치과 칠곡 지음 치과
1,신랑한테 장난치다가 내가 때리고 신랑은 막았는데 왜 내 손이 우둑 소리 나더니 너무 아파서 엉엉 울고 신랑 당황 뜨리 먼 곳에서 당황 아프다 월탱 비폭력대화 지금 생각하니 웃기다 신랑이나 보고 물 주먹이라고
1,장범준 잠이 오질 않네요 생각이 많은 밤 머리 아프다
1,합법적 외박 맘모톰 시술했어요 아프다 누가 안 아프대 엉엉
